Date,Level
2003-01-01,792
2003-02-01,650
2003-03-01,459
2003-04-01,224
2003-05-01,56
2003-06-01,0
2003-07-01,25
2003-08-01,2
2003-09-01,31
2003-10-01,33
2003-11-01,39
2003-12-01,8
2004-01-01,0
2004-02-01,0
2004-03-01,0
2004-04-01,0
2004-05-01,0
2004-06-01,0
2004-07-01,0
2004-08-01,0
2004-09-01,0
2004-10-01,0
2004-11-01,72
2004-12-01,494
2005-01-01,401
2005-02-01,275
2005-03-01,211
2005-04-01,129
2005-05-01,131
2005-06-01,68
2005-07-01,30
2005-08-01,6
2005-09-01,0
2005-10-01,9
2005-11-01,1259
2005-12-01,2908
2006-01-01,2986
2006-02-01,2843
2006-03-01,2637
2006-04-01,2419
2006-05-01,2168
2006-06-01,1938
2006-07-01,1719
2006-08-01,1486
2006-09-01,1349
2006-10-01,1293
2006-11-01,2113
2006-12-01,2512
2007-01-01,2351
2007-02-01,2157
2007-03-01,1859
2007-04-01,1609
2007-05-01,1312
2007-06-01,1091
2007-07-01,1060
2007-08-01,942
2007-09-01,1162
2007-10-01,1634
2007-11-01,2728
2007-12-01,2671
2008-01-01,3120
2008-02-01,2960
2008-03-01,2793
2008-04-01,2434
2008-05-01,2099
2008-06-01,2034
2008-07-01,1971
2008-08-01,1734
2008-09-01,1484
2008-10-01,1249
2008-11-01,1852
2008-12-01,3158
2009-01-01,2979
2009-02-01,2679
2009-03-01,2742
2009-04-01,2929
2009-05-01,2560
2009-06-01,2064
2009-07-01,1478
2009-08-01,999
2009-09-01,725
2009-10-01,486
2009-11-01,534
2009-12-01,1552
2010-01-01,2496
2010-02-01,2254
2010-03-01,1956
2010-04-01,2166
2010-05-01,2379
2010-06-01,2106
2010-07-01,1881
2010-08-01,1646
2010-09-01,1727
2010-10-01,1572
2010-11-01,1527
2010-12-01,2202
2011-01-01,3130
2011-02-01,3080
2011-03-01,2725
2011-04-01,2210
2011-05-01,1704
2011-06-01,1822
2011-07-01,1983
2011-08-01,2438
2011-09-01,2845
2011-10-01,2792
2011-11-01,2735
2011-12-01,2673
2012-01-01,2825
2012-02-01,2719
2012-03-01,2390
2012-04-01,1989
2012-05-01,1574
2012-06-01,1177
2012-07-01,759
2012-08-01,1123
2012-09-01,1404
2012-10-01,1199
2012-11-01,1193
2012-12-01,1141
2013-01-01,1239
2013-02-01,980
2013-03-01,1446
2013-04-01,1775
2013-05-01,1422
2013-06-01,1012
2013-07-01,757
2013-08-01,555
2013-09-01,445
2013-10-01,668
2013-11-01,749
2013-12-01,956
2014-01-01,874
2014-02-01,719
2014-03-01,790
2014-04-01,747
2014-05-01,916
2014-06-01,1264
2014-07-01,1105
2014-08-01,850
2014-09-01,633
2014-10-01,718
2014-11-01,1211
2014-12-01,1189
2015-01-01,968
2015-02-01,747
2015-03-01,728
2015-04-01,864
2015-05-01,799
2015-06-01,572
2015-07-01,511
2015-08-01,323
2015-09-01,165
2015-10-01,148
2015-11-01,228
2015-12-01,3141
2016-01-01,3153
2016-02-01,3018
2016-03-01,2855
2016-04-01,2378
2016-05-01,2307
2016-06-01,2310
2016-07-01,1977
2016-08-01,1561
2016-09-01,1145
2016-10-01,972
2016-11-01,569
2016-12-01,240
2017-01-01,537
2017-02-01,339
2017-03-01,162
2017-04-01,463
2017-05-01,287
2017-06-01,93
2017-07-01,49
2017-08-01,83
2017-09-01,180
2017-10-01,221
2017-11-01,617
2017-12-01,1759
2018-01-01,1842
2018-02-01,1693
2018-03-01,1507
2018-04-01,1215
2018-05-01,1198
2018-06-01,1214
2018-07-01,906
2018-08-01,628
2018-09-01,445
2018-10-01,338
2018-11-01,235
2018-12-01,185
2019-01-01,102
2019-02-01,50
2019-03-01,22
2019-04-01,10
2019-05-01,2
2019-06-01,1
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,12
2019-11-01,75
2019-12-01,749
2020-01-01,1694
2020-02-01,1547
2020-03-01,1984
2020-04-01,2078
2020-05-01,1930
2020-06-01,2011
2020-07-01,2019
2020-08-01,1849
2020-09-01,1671
2020-10-01,1585
2020-11-01,2297
2020-12-01,3123
2021-01-01,3347
2021-02-01,3470
2021-03-01,3177
2021-04-01,3030
2021-05-01,2965
2021-06-01,2952
2021-07-01,2641
2021-08-01,2475
2021-09-01,2591
2021-10-01,2879
2021-11-01,2804
2021-12-01,3187
