Date,Level
2003-01-01,1585
2003-02-01,1992
2003-03-01,1919
2003-04-01,1730
2003-05-01,1447
2003-06-01,1176
2003-07-01,897
2003-08-01,716
2003-09-01,535
2003-10-01,371
2003-11-01,266
2003-12-01,274
2004-01-01,268
2004-02-01,220
2004-03-01,153
2004-04-01,190
2004-05-01,151
2004-06-01,130
2004-07-01,109
2004-08-01,48
2004-09-01,0
2004-10-01,0
2004-11-01,175
2004-12-01,793
2005-01-01,986
2005-02-01,1458
2005-03-01,1887
2005-04-01,1873
2005-05-01,1640
2005-06-01,1361
2005-07-01,1091
2005-08-01,823
2005-09-01,545
2005-10-01,397
2005-11-01,1570
2005-12-01,3052
2006-01-01,3116
2006-02-01,2624
2006-03-01,2232
2006-04-01,2545
2006-05-01,2141
2006-06-01,1770
2006-07-01,1881
2006-08-01,1596
2006-09-01,1514
2006-10-01,1134
2006-11-01,2216
2006-12-01,2426
2007-01-01,2507
2007-02-01,3106
2007-03-01,2856
2007-04-01,2467
2007-05-01,2156
2007-06-01,2016
2007-07-01,2254
2007-08-01,2085
2007-09-01,1987
2007-10-01,1921
2007-11-01,2415
2007-12-01,2440
2008-01-01,3187
2008-02-01,3022
2008-03-01,2732
2008-04-01,2910
2008-05-01,2489
2008-06-01,2854
2008-07-01,2421
2008-08-01,2143
2008-09-01,1873
2008-10-01,1529
2008-11-01,1685
2008-12-01,3022
2009-01-01,2886
2009-02-01,2528
2009-03-01,2335
2009-04-01,2432
2009-05-01,2248
2009-06-01,2071
2009-07-01,1786
2009-08-01,1871
2009-09-01,1803
2009-10-01,1378
2009-11-01,1074
2009-12-01,1652
2010-01-01,2013
2010-02-01,2342
2010-03-01,2579
2010-04-01,2769
2010-05-01,2344
2010-06-01,2004
2010-07-01,1600
2010-08-01,1381
2010-09-01,1428
2010-10-01,1297
2010-11-01,1581
2010-12-01,2695
2011-01-01,3235
2011-02-01,3254
2011-03-01,3106
2011-04-01,2705
2011-05-01,2263
2011-06-01,2207
2011-07-01,1883
2011-08-01,1732
2011-09-01,2018
2011-10-01,2956
2011-11-01,3062
2011-12-01,3006
2012-01-01,2632
2012-02-01,2771
2012-03-01,2572
2012-04-01,2290
2012-05-01,1820
2012-06-01,1319
2012-07-01,1201
2012-08-01,1378
2012-09-01,1375
2012-10-01,1538
2012-11-01,1886
2012-12-01,1970
2013-01-01,2164
2013-02-01,2212
2013-03-01,2189
2013-04-01,1725
2013-05-01,1257
2013-06-01,821
2013-07-01,476
2013-08-01,338
2013-09-01,575
2013-10-01,976
2013-11-01,1332
2013-12-01,1850
2014-01-01,2166
2014-02-01,1994
2014-03-01,2237
2014-04-01,2178
2014-05-01,1746
2014-06-01,1507
2014-07-01,1281
2014-08-01,927
2014-09-01,901
2014-10-01,1044
2014-11-01,974
2014-12-01,1339
2015-01-01,1580
2015-02-01,1743
2015-03-01,1833
2015-04-01,1501
2015-05-01,1359
2015-06-01,1007
2015-07-01,690
2015-08-01,428
2015-09-01,242
2015-10-01,84
2015-11-01,25
2015-12-01,2790
2016-01-01,2864
2016-02-01,2827
2016-03-01,2711
2016-04-01,2346
2016-05-01,1881
2016-06-01,1611
2016-07-01,1202
2016-08-01,1082
2016-09-01,674
2016-10-01,658
2016-11-01,413
2016-12-01,268
2017-01-01,450
2017-02-01,305
2017-03-01,720
2017-04-01,646
2017-05-01,418
2017-06-01,166
2017-07-01,21
2017-08-01,0
2017-09-01,83
2017-10-01,135
2017-11-01,614
2017-12-01,1557
2018-01-01,1585
2018-02-01,1368
2018-03-01,1194
2018-04-01,1660
2018-05-01,1779
2018-06-01,1427
2018-07-01,1120
2018-08-01,920
2018-09-01,713
2018-10-01,478
2018-11-01,809
2018-12-01,1102
2019-01-01,941
2019-02-01,720
2019-03-01,520
2019-04-01,301
2019-05-01,125
2019-06-01,3
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,50
2019-11-01,838
2019-12-01,1639
2020-01-01,2456
2020-02-01,2906
2020-03-01,2583
2020-04-01,2796
2020-05-01,2956
2020-06-01,2782
2020-07-01,2745
2020-08-01,2510
2020-09-01,2320
2020-10-01,2162
2020-11-01,2167
2020-12-01,2841
2021-01-01,3125
2021-02-01,3243
2021-03-01,3128
2021-04-01,3032
2021-05-01,2990
2021-06-01,2784
2021-07-01,2623
2021-08-01,2593
2021-09-01,2847
2021-10-01,2964
2021-11-01,2724
2021-12-01,2908
